label,nb_visits,nb_hits,nb_hits_with_time_generation,min_time_generation,max_time_generation,sum_time_spent,bounce_count,exit_nb_visits,sum_daily_nb_uniq_visitors,avg_time_on_dimension,bounce_rate,exit_rate,avg_time_generation,idsubdatatable,segment
132@statistisches-amt-kanton-zuerich,20,44,36,0.93,2.075,5370,1,8,18,122,5%,40%,0.108,76,dimension9==132%40statistisches-amt-kanton-zuerich
525@bildungsstatistik-kanton-zuerich,20,46,30,20.96,21.346,1006,0,2,18,22,0%,10%,1.557,38,dimension9==525%40bildungsstatistik-kanton-zuerich
296@statistisches-amt-kanton-zuerich,16,24,15,1.2610000000000001,1.4420000000000002,332,0,4,15,14,0%,25%,0.173,53,dimension9==296%40statistisches-amt-kanton-zuerich
526@bildungsstatistik-kanton-zuerich,16,26,21,10.754999999999999,12.064,874,2,6,13,34,13%,38%,0.954,39,dimension9==526%40bildungsstatistik-kanton-zuerich
63@statistisches-amt-kanton-zuerich,15,21,12,2.307,2.307,1281,0,3,15,61,0%,20%,0.215,120,dimension9==63%40statistisches-amt-kanton-zuerich
561@statistisches-amt-kanton-zuerich,15,26,19,1.652,1.9529999999999998,1130,0,0,15,43,0%,0%,0.135,28,dimension9==561%40statistisches-amt-kanton-zuerich
626@statistisches-amt-kanton-zuerich,15,26,16,0.08600000000000001,0.11500000000000002,1158,0,3,15,45,0%,20%,0.01,87,dimension9==626%40statistisches-amt-kanton-zuerich
205@statistisches-amt-kanton-zuerich,14,17,15,1.505,1.763,1145,0,1,14,67,0%,7%,0.178,86,dimension9==205%40statistisches-amt-kanton-zuerich
467@staatsarchiv-kanton-zuerich,14,14,10,2.6310000000000002,2.6869999999999994,265,1,4,14,19,7%,29%,0.301,29,dimension9==467%40staatsarchiv-kanton-zuerich
123@statistisches-amt-kanton-zuerich,12,15,9,0.383,0.429,1728,3,5,11,115,25%,42%,0.049,156,dimension9==123%40statistisches-amt-kanton-zuerich
61@statistisches-amt-kanton-zuerich,11,17,13,1.605,1.7670000000000001,1789,0,0,10,105,0%,0%,0.207,81,dimension9==61%40statistisches-amt-kanton-zuerich
138@statistisches-amt-kanton-zuerich,11,16,11,0.115,0.12,1051,0,0,9,66,0%,0%,0.015,42,dimension9==138%40statistisches-amt-kanton-zuerich
298@statistisches-amt-kanton-zuerich,11,17,13,1.514,1.546,468,0,4,11,28,0%,36%,0.185,90,dimension9==298%40statistisches-amt-kanton-zuerich
466@staatsarchiv-kanton-zuerich,11,19,9,2.089,2.128,1599,0,1,11,84,0%,9%,0.429,133,dimension9==466%40staatsarchiv-kanton-zuerich
468@staatsarchiv-kanton-zuerich,11,13,10,1.9970000000000003,4.346,1777,2,4,11,137,18%,36%,0.474,63,dimension9==468%40staatsarchiv-kanton-zuerich
563@awel-kanton-zuerich,11,13,10,2.3920000000000003,2.3920000000000003,1781,0,3,11,137,0%,27%,0.239,17,dimension9==563%40awel-kanton-zuerich
695@statistisches-amt-kanton-zuerich,10,12,8,4.79,4.925000000000001,170,0,1,10,14,0%,10%,0.707,79,dimension9==695%40statistisches-amt-kanton-zuerich
108@statistisches-amt-kanton-zuerich,9,13,8,0.216,0.216,283,0,0,9,22,0%,0%,0.027,75,dimension9==108%40statistisches-amt-kanton-zuerich
583@fachstelle-ogd-kanton-zuerich,9,13,10,2.0629999999999997,2.271,400,2,4,9,31,22%,44%,0.335,20,dimension9==583%40fachstelle-ogd-kanton-zuerich
85@statistisches-amt-kanton-zuerich,8,12,8,0.183,0.195,1937,0,1,8,161,0%,13%,0.028,129,dimension9==85%40statistisches-amt-kanton-zuerich
698@statistisches-amt-kanton-zuerich,8,9,7,1.58,1.9309999999999998,1282,0,1,7,142,0%,13%,0.339,10,dimension9==698%40statistisches-amt-kanton-zuerich
76@statistisches-amt-kanton-zuerich,7,9,6,0.051000000000000004,0.051000000000000004,875,0,0,7,97,0%,0%,0.009,122,dimension9==76%40statistisches-amt-kanton-zuerich
443@statistisches-amt-kanton-zuerich,7,13,9,1.4340000000000002,1.4440000000000002,1703,0,0,7,131,0%,0%,0.253,6,dimension9==443%40statistisches-amt-kanton-zuerich
33@statistisches-amt-kanton-zuerich,6,7,5,0.8360000000000001,0.8360000000000001,11,0,2,6,2,0%,33%,0.167,95,dimension9==33%40statistisches-amt-kanton-zuerich
189@statistisches-amt-kanton-zuerich,6,11,8,0.057,0.06,613,0,0,6,56,0%,0%,0.009,99,dimension9==189%40statistisches-amt-kanton-zuerich
258@statistisches-amt-kanton-zuerich,6,10,6,0.782,0.782,107,0,1,6,11,0%,17%,0.174,179,dimension9==258%40statistisches-amt-kanton-zuerich
285@statistisches-amt-kanton-zuerich,6,17,10,1.363,1.4529999999999998,380,0,0,6,22,0%,0%,0.353,49,dimension9==285%40statistisches-amt-kanton-zuerich
289@statistisches-amt-kanton-zuerich,6,8,7,0.792,0.9990000000000001,232,0,0,6,29,0%,0%,0.165,119,dimension9==289%40statistisches-amt-kanton-zuerich
374@statistisches-amt-kanton-zuerich,6,11,8,1.028,1.028,568,0,0,6,52,0%,0%,0.129,44,dimension9==374%40statistisches-amt-kanton-zuerich
625@statistisches-amt-kanton-zuerich,6,7,4,2.2119999999999997,2.2119999999999997,1311,0,0,6,187,0%,0%,0.553,67,dimension9==625%40statistisches-amt-kanton-zuerich
701@statistisches-amt-kanton-zuerich,6,7,6,1.038,1.038,785,0,2,6,112,0%,33%,0.173,154,dimension9==701%40statistisches-amt-kanton-zuerich
40@statistisches-amt-kanton-zuerich,5,6,4,0.848,0.848,192,0,1,5,32,0%,20%,0.212,54,dimension9==40%40statistisches-amt-kanton-zuerich
43@statistisches-amt-kanton-zuerich,5,6,5,0.772,0.913,153,0,2,5,26,0%,40%,0.237,50,dimension9==43%40statistisches-amt-kanton-zuerich
58@statistisches-amt-kanton-zuerich,5,10,6,0.074,0.11199999999999999,88,0,0,5,9,0%,0%,0.028,24,dimension9==58%40statistisches-amt-kanton-zuerich
87@statistisches-amt-kanton-zuerich,5,5,3,0.722,0.722,13,0,2,5,3,0%,40%,0.241,150,dimension9==87%40statistisches-amt-kanton-zuerich
89@statistisches-amt-kanton-zuerich,5,7,7,0.621,0.879,16,0,2,5,2,0%,40%,0.19,106,dimension9==89%40statistisches-amt-kanton-zuerich
345@statistisches-amt-kanton-zuerich,5,7,6,0.075,0.075,109,0,2,5,16,0%,40%,0.014,66,dimension9==345%40statistisches-amt-kanton-zuerich
363@statistisches-amt-kanton-zuerich,5,7,4,1.234,1.316,56,0,0,5,8,0%,0%,0.425,128,dimension9==363%40statistisches-amt-kanton-zuerich
367@statistisches-amt-kanton-zuerich,5,8,5,1.3210000000000002,1.475,1577,0,0,5,197,0%,0%,0.456,146,dimension9==367%40statistisches-amt-kanton-zuerich
